氏名,シフト希望期間,備考,8/1,8/2,8/3,8/4,8/5,8/6,8/7,8/8,8/9,8/10,8/11,8/12,8/13,8/14,8/15,8/16,8/17,8/18,8/19,8/20,8/21,8/22,8/23,8/24,8/25,8/26,8/27,8/28,8/29,8/30,8/31
看護師A-01,2025年8月1日〜8月31日,,希望なし（終日勤務可能）,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,,,
看護師A-02,2025年8月1日〜8月31日,急用あり,,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,,,
看護師A-03,2025年8月1日〜8月31日,,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,,,
看護師A-04,2025年8月1日〜8月31日,,希望なし（終日勤務可能）,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,,,
看護師A-05,2025年8月1日〜8月31日,旅行予定,,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,,,,
看護師A-06,2025年8月1日〜8月31日,,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,,,,,,
看護師A-07,2025年8月1日〜8月31日,,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,,,,
看護師A-08,2025年8月1日〜8月31日,,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,,,
看護師A-09,2025年8月1日〜8月31日,病院見学,,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,,,,,
看護師A-10,2025年8月1日〜8月31日,,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,日勤不可,希望なし（終日勤務可能）,夜勤不可,希望なし（終日勤務可能）,希望なし（終日勤務可能）,終日不可,希望なし（終日勤務可能）,,,,,,
